CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,-,-,-,"3,222.30",-,"2,750","3,436.75","3,856.70","1,000","13,950.00",-,-,0.05,"12,750",-0.20,0.05,129.25,"8,431","2,084","3,255",
,"2,549","-3,056","4,994",188.50,"3,745.00",91.45,350,"3,730.95","3,745.30","5,600","14,000.00",-,-,0.05,"1,34,350",-0.15,0.05,127.43,"18,978","3,422","15,486",
,-,-,-,-,-,-,"2,750","3,423.55","3,809.35","1,000","14,050.00",-,-,0.05,150,-0.10,0.05,125.63,642,279,424,
,2,-,-,-,"3,033.05",-,"2,750","3,369.00","3,736.50","1,000","14,100.00",-,-,0.05,"1,700",-0.15,0.05,123.82,335,117,337,
,1,-,-,-,"2,817.95",-,"2,750","3,251.05","3,651.90","1,550","14,150.00",-,-,0.25,"3,300",-0.25,0.05,122.03,262,92,173,
,4,2,7,255.50,"3,583.00",758.95,"1,500","3,451.40","3,621.30",250,"14,200.00",-,-,0.05,"3,500",-0.15,0.05,120.23,432,91,493,
,-,-,-,-,-,-,"1,500","3,229.05","3,517.45","3,600","14,250.00","2,800",0.05,0.25,"3,400",-0.20,0.05,124.21,87,59,148,
,5,3,4,218.08,"3,461.50",521.50,50,"3,421.05","3,465.50",550,"14,300.00",-,-,0.15,"2,800",-0.20,0.05,116.66,187,15,103,
,-,-,-,-,-,-,"4,250","3,134.60","3,428.80","1,500","14,350.00","2,800",0.05,0.25,"2,900",-0.60,0.05,114.88,69,56,67,
,-,-,-,-,"2,570.00",-,"1,500","3,254.20","3,413.55","1,000","14,400.00",-,-,0.15,"2,900",-0.20,0.05,113.11,126,68,140,
,-,-,-,-,-,-,"6,350","2,955.75","3,312.35","1,800","14,450.00","2,800",0.05,0.25,"2,900",-0.25,0.05,116.80,68,46,98,
,845,-264,860,-,"3,235.00",66.65,50,"3,230.95","3,235.00",500,"14,500.00",-,-,0.05,"29,900",-0.15,0.05,109.58,"4,216","-1,209","4,854",
,-,-,-,-,-,-,"1,500","2,956.20","3,606.60","1,500","14,550.00",50,0.10,0.25,"3,700",-0.15,0.10,107.82,27,-16,49,
,1,-2,3,-,"3,125.00",10.00,"2,750","2,800.95","3,254.70",300,"14,600.00",-,-,0.05,"6,000",-0.15,0.05,106.07,104,-4,510,
,-,-,-,-,-,-,"2,750","2,779.95","3,244.35","1,000","14,650.00",-,-,0.15,"2,800",-64.15,0.05,104.32,2,2,2,
,5,-4,9,-,"3,020.00",20.00,"1,500","2,888.90","3,116.85",500,"14,700.00",-,-,0.15,"6,700",-0.40,0.05,102.57,216,15,322,
,-,-,-,-,-,-,"2,750","2,683.95","3,132.70","1,000","14,750.00","2,800",0.05,0.20,900,-0.20,0.15,109.07,82,39,104,
,3,-15,20,-,"2,918.00",18.00,500,"2,887.10","2,965.30",50,"14,800.00",750,0.05,0.15,"3,300",-0.30,0.05,99.10,106,62,120,
,-,-,-,-,-,-,"2,750","2,625.35","3,008.60","1,000","14,850.00",-,-,0.30,"3,400",-0.15,0.05,97.36,101,41,137,
,2,-2,4,-,"2,804.70",4.70,"1,500","2,673.70","2,904.00",600,"14,900.00",-,-,0.10,"4,500",-0.25,0.10,100.40,169,-63,306,
,-,-,-,-,-,-,"1,500","2,555.55","2,916.30","1,000","14,950.00",250,0.05,0.10,950,-0.30,0.10,93.92,161,21,225,
,"3,629",-777,"3,058",128.27,"2,743.25",79.95,50,"2,732.05","2,743.00",100,"15,000.00",-,-,0.05,"7,650",-0.35,0.05,92.20,"24,924","-10,238","15,171",
,-,-,-,-,-,-,"2,750","2,462.95","2,723.85","1,500","15,050.00",-,-,0.10,600,-0.30,0.10,95.02,117,-6,124,
,12,-6,12,-,"2,581.65",35.95,50,"2,607.20","2,657.60",50,"15,100.00",-,-,0.15,"3,500",-0.35,0.05,88.77,941,-169,"1,205",
,-,-,-,-,"1,772.40",-,"1,500","2,423.95","2,634.40","1,500","15,150.00",-,-,0.15,"2,800",-0.40,0.05,87.06,"2,248",25,132,
,24,-3,6,-,"2,479.30",-13.30,50,"2,493.75","2,593.35",400,"15,200.00",-,-,0.05,"18,550",-0.40,0.05,85.36,"1,837",-739,"1,999",
,-,-,-,-,-,-,"2,750","2,325.20","2,530.60","1,500","15,250.00",-,-,0.05,600,-0.20,0.05,83.66,48,19,117,
,13,-5,14,-,"2,390.00",-5.00,50,"2,403.10","2,522.35","1,800","15,300.00",-,-,0.05,"8,000",-0.35,0.05,81.96,774,-175,"1,130",
,3,-,-,-,"1,394.70",-,"1,550","2,226.30","2,420.75","1,500","15,350.00",-,-,0.05,750,-0.35,0.05,80.27,88,-12,137,
,23,-32,32,-,"2,293.00",-23.15,50,"2,310.10","2,359.20",50,"15,400.00",-,-,0.10,"64,900",-0.55,0.05,78.58,"2,899","-1,606","2,136",
,-,-,-,-,-,-,"4,250","2,104.10","2,608.30","2,750","15,450.00",-,-,0.15,600,-0.20,0.15,83.39,100,15,156,
,"2,377",-259,"1,246",105.15,"2,243.30",65.95,50,"2,230.55","2,242.90",100,"15,500.00",-,-,0.05,"2,800",-0.35,0.10,79.07,"37,729","-14,475","28,892",
,1,-,-,-,"2,154.80",-,"1,500","2,043.00","2,259.25","1,000","15,550.00",-,-,0.05,500,-0.40,0.05,73.54,175,-11,114,
,26,-54,57,-,"2,121.70",5.70,50,"2,130.45","2,148.15",50,"15,600.00",-,-,0.05,"10,950",-0.55,0.05,71.86,"9,763","-4,961","2,739",
,2,-,-,-,"1,499.65",-,"1,500","1,953.65","2,225.45","1,000","15,650.00","5,000",0.05,0.15,"2,900",-0.25,0.10,73.82,101,7,163,
,10,-16,18,-,"1,990.00",-22.80,100,"2,018.95","2,042.20",50,"15,700.00",-,-,0.05,150,-0.50,0.05,68.52,"2,473",-930,"1,531",
,-,-,-,-,"1,303.40",-,"1,500","1,803.10","2,248.00","2,750","15,750.00","2,300",0.05,0.10,650,-0.60,0.05,66.85,"1,112",-586,860,
,66,-46,99,-,"1,939.10",66.05,50,"1,924.90","1,958.40",50,"15,800.00",-,-,0.05,"7,400",-0.40,0.05,65.19,"6,414","-2,985","6,779",
,2,-,-,-,"1,687.60",-,"2,750","1,706.85","1,938.55","1,500","15,850.00",200,0.10,0.15,550,-0.35,0.10,66.86,457,-68,325,
,19,-19,28,-,"1,810.00",21.80,50,"1,827.75","1,877.70",300,"15,900.00","17,750",0.05,0.10,"1,350",-0.50,0.05,61.87,"2,459",-632,"2,536",
,3,-,-,-,"1,181.80",-,"1,500","1,644.60","1,883.20","1,000","15,950.00",50,0.10,0.15,450,-0.40,0.05,63.39,503,-122,528,
,"3,611",-363,"2,446",-,"1,740.00",83.90,50,"1,726.55","1,742.10",50,"16,000.00","2,550",0.05,0.10,"9,550",-0.50,0.10,61.66,"48,469","-16,852","28,701",
,50,-1,2,86.70,"1,695.00",256.70,"2,800","1,673.50","1,694.55",50,"16,050.00",-,-,0.05,50,-0.50,0.05,56.91,595,-92,412,
,42,-31,79,-,"1,640.00",87.45,200,"1,640.00","1,641.00","5,650","16,100.00",-,-,0.05,"1,250",-0.40,0.05,55.27,"5,817","-1,497","3,677",
,61,-,-,-,"1,590.70",-,"2,800","1,573.50","1,667.05","1,000","16,150.00",-,-,0.05,100,-0.45,0.10,56.49,"2,771",-261,"1,773",
,202,-822,"1,062",-,"1,537.20",80.20,50,"1,531.85","1,542.00",50,"16,200.00",-,-,0.05,"1,000",-0.50,0.05,51.98,"9,099","-1,833","8,922",
,13,-70,82,-,"1,460.00",137.80,"2,800","1,473.50","1,565.70","1,000","16,250.00",650,0.05,0.10,500,-0.55,0.10,53.05,"4,770","-1,808","4,104",
,152,-54,223,59.64,"1,441.95",92.60,50,"1,430.30","1,441.95",50,"16,300.00",-,-,0.05,"8,150",-0.50,0.05,48.70,"16,607","-4,623","10,439",
,27,-56,80,105.88,"1,420.75",148.10,"2,800","1,373.50","1,392.70","2,800","16,350.00","7,250",0.05,0.10,"1,350",-0.65,0.05,47.06,"3,560",-959,"1,294",
,421,-458,848,-,"1,332.70",79.50,50,"1,330.60","1,342.10",50,"16,400.00",-,-,0.10,"65,350",-0.55,0.10,47.90,"30,706",-682,"23,283",
,121,-1,1,108.15,"1,332.25",100.75,500,"1,276.00","1,292.70","2,800","16,450.00","15,950",0.05,0.10,"1,400",-0.75,0.05,46.19,"5,827","-1,223","1,665",
,"2,290",-669,"2,481",-,"1,233.75",79.55,300,"1,238.00","1,240.00",900,"16,500.00",-,-,0.05,"1,03,600",-0.65,0.05,42.15,"70,695","-9,249","34,761",
,42,6,24,48.63,"1,191.90",48.50,500,"1,180.05","1,192.70","2,800","16,550.00",-,-,0.05,"13,500",-0.65,0.05,40.52,"8,722",-11,"1,521",
,844,-258,644,-,"1,140.00",41.05,50,"1,138.00","1,140.50",250,"16,600.00",-,-,0.05,"1,33,800",-0.65,0.05,38.88,"35,829",996,"16,805",
,208,-7,12,-,"1,040.00",40.85,"2,800","1,076.50","1,092.70","2,800","16,650.00",-,-,0.05,"4,050",-0.70,0.05,37.25,"10,125","-1,320","2,062",
,"2,339",-153,792,-,"1,040.00",85.75,250,"1,033.35","1,040.05",250,"16,700.00",-,-,0.05,"65,050",-0.60,0.05,35.62,"85,210","-10,708","34,394",
,118,-114,236,48.48,993.30,48.30,200,985.00,992.70,"5,600","16,750.00",-,-,0.05,"11,100",-0.65,0.05,33.98,"12,407","-1,797","3,427",
,"14,761",-513,"2,519",-,938.00,74.00,450,938.00,939.75,250,"16,800.00",-,-,0.05,"47,550",-0.80,0.05,32.35,"57,585","-7,844","40,444",
,214,-49,75,-,890.00,89.45,"1,500",829.95,893.00,500,"16,850.00","7,450",0.05,0.10,"10,650",-0.75,0.05,30.72,"13,464","-1,591","4,017",
,"10,801",-481,"2,018",-,839.75,81.55,"1,500",836.00,839.75,450,"16,900.00",-,-,0.05,"4,02,000",-1.00,0.05,29.08,"86,644","-10,569","53,198",
,261,-100,160,-,788.95,83.70,"2,800",776.55,787.95,50,"16,950.00",-,-,0.05,"1,300",-0.95,0.05,27.45,"16,368","-2,950","3,190",
,"20,640","-2,373","10,064",-,739.00,83.25,300,738.00,739.10,200,"17,000.00",-,-,0.05,"31,750",-1.10,0.05,25.81,"2,84,741","-33,818","97,833",
,718,-151,294,-,689.15,77.60,300,687.00,689.15,50,"17,050.00",-,-,0.05,"10,300",-1.05,0.05,24.17,"38,782","-5,231","6,879",
,"11,617",-828,"2,743",-,638.65,84.90,150,638.00,638.80,50,"17,100.00",-,-,0.05,"55,400",-1.25,0.05,22.52,"1,51,609","-21,554","32,251",
,624,-209,805,-,589.35,86.55,50,576.75,590.90,50,"17,150.00",-,-,0.05,"11,100",-1.35,0.05,20.88,"41,770","-7,055","5,045",
,"9,085","-1,713","7,184",-,537.00,79.50,50,537.05,539.15,50,"17,200.00",-,-,0.05,"3,25,500",-1.70,0.05,19.22,"2,99,342","-24,281","53,631",
,892,"-1,097","2,364",-,488.15,80.60,50,486.35,488.00,50,"17,250.00",-,-,0.05,"1,15,800",-2.10,0.05,17.56,"1,18,072","-7,531","14,051",
,"9,768","-3,746","13,676",-,437.50,80.10,"1,500",436.40,438.20,50,"17,300.00",-,-,0.05,"16,200",-2.90,0.05,15.90,"5,47,514","-11,201","74,071",
,623,-979,"3,729",-,386.00,79.20,50,384.75,387.70,200,"17,350.00",-,-,0.05,"15,050",-4.40,0.05,14.22,"2,17,342","-19,411","13,992",
,"19,798","-2,039","28,723",-,337.65,73.00,50,337.25,338.05,50,"17,400.00",-,-,0.05,"88,850",-7.50,0.05,12.54,"8,44,817","-3,461","75,161",
,"1,699",-842,"14,954",-,287.65,70.55,50,286.80,287.65,50,"17,450.00",-,-,0.05,"7,150",-12.15,0.05,10.84,"7,10,529","-26,435","22,654",
,"29,534","-13,391","2,14,694",-,237.05,60.45,50,237.05,237.45,50,"17,500.00",-,-,0.05,"6,68,950",-19.60,0.05,9.13,"19,96,293","-3,141","1,31,351",
,"2,871","-4,079","1,36,909",-,187.25,51.70,200,182.75,187.30,250,"17,550.00",-,-,0.05,"77,700",-29.65,0.05,7.39,"19,18,931","11,696","46,195",
,"21,111","-45,119","12,04,049",-,136.65,35.65,950,136.65,137.40,200,"17,600.00",-,-,0.05,"2,35,100",-44.55,0.05,5.62,"70,62,885","5,189","86,194",
,"16,455","-33,507","23,56,594",-,86.75,14.95,250,86.80,87.15,250,"17,650.00",-,-,0.05,"4,68,150",-64.80,0.05,3.80,"84,92,551","51,215","78,683",
,"92,930","-50,172","1,09,93,417",-,37.15,-11.75,950,37.15,37.35,"1,500","17,700.00",-,-,0.05,"10,75,700",-90.55,0.05,1.89,"1,27,32,666","97,169","1,50,329",
,"2,11,329","1,38,667","94,83,204",0.47,0.05,-31.50,-,-,0.05,"47,100","17,750.00","8,950",12.80,12.90,250,-110.30,12.90,2.20,"46,66,796","24,347","34,126",
,"1,64,757","10,568","79,67,457",2.52,0.05,-18.90,-,-,0.05,"71,550","17,800.00",50,62.65,62.80,"2,500",-98.65,62.60,6.07,"28,32,109","11,552","41,100",
,"88,374","16,451","34,74,513",4.37,0.05,-10.60,-,-,0.05,"1,50,100","17,850.00","1,500",112.30,112.80,50,-91.10,112.30,9.15,"5,16,793","1,515","4,501",
,"1,13,018","-9,669","34,26,875",6.15,0.05,-5.90,-,-,0.05,"2,38,250","17,900.00","1,500",162.25,162.55,400,-85.20,162.25,12.09,"4,80,726","7,170","12,511",
,"48,953","-11,167","13,44,931",7.87,0.05,-3.50,"1,56,050",0.05,0.10,"4,050","17,950.00",150,212.40,213.20,50,-83.45,212.80,15.34,"81,723",-454,919,
,"1,62,846","-63,094","18,49,193",9.55,0.05,-2.35,-,-,0.05,"2,94,650","18,000.00","1,500",262.20,263.00,350,-82.10,262.20,17.56,"93,985","-3,358","5,208",
,"51,284","-20,552","4,48,923",11.96,0.10,-1.70,"4,70,950",0.05,0.10,50,"18,050.00",250,305.50,316.75,450,-79.95,311.45,19.39,"4,645",75,419,
,"77,518","-24,151","7,68,638",13.67,0.10,-1.30,"68,050",0.05,0.10,600,"18,100.00",50,362.50,363.45,50,-80.20,362.25,22.80,"7,641",-548,596,
,"21,361","-7,475","1,47,728",15.37,0.10,-1.10,"15,350",0.05,0.10,"7,050","18,150.00",250,404.35,412.95,200,-87.05,412.50,25.60,686,-7,141,
,"69,315","-16,011","4,64,320",16.03,0.05,-0.90,-,-,0.05,"3,26,600","18,200.00","1,250",462.05,464.05,100,-83.20,462.85,28.49,"3,359",-722,444,
,"6,601","-2,704","66,863",17.60,0.05,-0.80,-,-,0.05,"11,750","18,250.00",50,506.70,516.70,250,-88.40,512.75,30.84,164,6,52,
,"32,895","-10,645","1,74,937",19.15,0.05,-0.75,-,-,0.05,"1,58,500","18,300.00",50,561.35,565.60,50,-80.05,564.15,34.94,617,-100,260,
,"8,387",-968,"28,524",20.69,0.05,-0.70,-,-,0.05,"41,900","18,350.00","2,800",604.70,612.00,200,-83.95,609.95,30.79,36,4,22,
,"13,881","-7,946","78,619",22.22,0.05,-0.65,-,-,0.05,"7,250","18,400.00",100,661.00,665.25,250,-87.60,661.10,35.36,692,-220,195,
,"11,839",-36,"30,506",23.74,0.05,-0.50,-,-,0.05,"1,10,050","18,450.00","2,800",702.80,728.95,200,-100.40,704.85,-,14,-3,13,
,"85,630","-39,313","3,03,788",25.24,0.05,-0.70,-,-,0.05,"1,15,300","18,500.00",500,760.80,765.45,250,-78.35,764.25,44.75,"8,070","-2,150","4,131",
,"1,235",-230,"5,627",26.74,0.05,-0.55,-,-,0.05,"10,500","18,550.00","2,800",800.65,848.65,"2,800",-,921.00,-,-,-,13,
,"10,511","1,719","44,194",28.22,0.05,-0.45,-,-,0.05,"1,01,350","18,600.00",250,859.40,865.85,250,-37.95,864.05,49.16,47,-13,164,
,"1,607",430,"4,203",31.40,0.10,-0.40,-,-,0.05,"1,650","18,650.00","2,800",900.65,948.65,"2,800",-594.75,901.90,-,28,24,27,
,"14,213","8,309","40,854",31.16,0.05,-0.40,-,-,0.05,"40,450","18,700.00",50,959.90,965.35,250,-15.90,"1,035.00",99.31,102,4,64,
,"3,659",-543,"11,286",32.61,0.05,-0.55,-,-,0.05,"22,900","18,750.00","2,800",999.80,"1,016.40",200,-,"1,003.05",-,-,-,2,
,"6,215","-3,656","21,028",34.06,0.05,-0.40,-,-,0.05,"19,500","18,800.00",250,"1,059.05","1,065.50",250,-36.15,"1,063.85",57.92,29,-6,36,
,991,63,"1,637",35.49,0.05,-0.30,-,-,0.05,"9,000","18,850.00","2,800","1,101.70","1,114.85",200,-,"1,129.45",-,-,-,3,
,"4,182","-1,253","8,758",36.92,0.05,-0.30,-,-,0.05,"20,200","18,900.00",50,"1,159.25","1,165.75",250,-24.60,"1,179.10",79.41,35,17,30,
,"1,206",667,"3,580",38.34,0.05,-0.30,-,-,0.10,"47,350","18,950.00","2,800","1,199.80","1,215.00",200,-,"1,931.05",-,-,-,2,
,"35,931","-16,714","56,971",39.76,0.05,-0.35,-,-,0.05,"1,37,450","19,000.00",50,"1,262.65","1,267.00",250,-74.70,"1,265.00",68.64,"2,886","-1,298","2,212",
,643,-19,724,41.16,0.05,-0.35,-,-,0.05,"7,600","19,050.00","1,800","1,225.70","1,359.95","1,500",-,"2,072.90",-,-,-,7,
,"4,620","1,178","6,765",42.56,0.05,-0.30,-,-,0.05,"1,32,400","19,100.00",50,"1,313.95","1,412.85","1,500",-40.00,"1,370.00",80.09,14,-14,8,
,248,-28,"1,563",43.96,0.05,-0.35,-,-,0.15,150,"19,150.00",450,"1,251.50","1,460.00","1,500",-,"1,921.65",-,-,-,-,
,"5,138","1,432","9,830",45.34,0.05,-0.25,-,-,0.05,"1,28,500","19,200.00","1,000","1,312.95","1,510.20","1,500",-77.40,"1,499.55",110.22,12,-4,9,
,229,19,274,46.72,0.05,-0.35,-,-,0.05,450,"19,250.00","1,000","1,432.95","1,560.10","1,500",-,-,-,-,-,-,
,557,75,604,48.09,0.05,-0.35,-,-,0.10,"1,050","19,300.00","1,000","1,404.40","1,606.45","1,500",-40.00,"1,550.00",-,1,-,9,
,123,12,236,53.83,0.15,-0.30,-,-,0.10,300,"19,350.00","1,650","1,533.80","1,660.15","1,500",-,-,-,-,-,-,
,"2,094",-82,946,50.82,0.05,-0.40,-,-,0.10,"3,000","19,400.00","1,000","1,482.95","1,710.20","1,500",-,"1,755.00",-,-,-,2,
,328,94,292,54.94,0.10,-0.35,-,-,0.15,100,"19,450.00","2,750","1,472.50","1,773.50","1,500",-,-,-,-,-,-,
,"37,626","-13,797","32,570",53.52,0.05,-0.40,-,-,0.05,"3,450","19,500.00",50,"1,758.05","1,770.80",50,-78.90,"1,766.00",91.80,"2,581","-1,039","1,992",
,209,138,838,57.75,0.10,-0.35,-,-,0.10,"2,900","19,550.00","3,600","1,779.35","1,856.75","1,800",-,-,-,-,-,-,
,460,12,408,59.14,0.10,-0.20,-,-,0.05,"2,200","19,600.00","2,750","1,749.10","1,968.60","1,000",-,"1,824.00",-,-,-,4,
,174,68,199,60.53,0.10,-0.30,-,-,0.05,200,"19,650.00","2,750","1,775.85","1,989.30","1,500",-,-,-,-,-,-,
,640,8,540,61.91,0.05,-0.30,-,-,0.10,200,"19,700.00","1,000","1,632.15","2,041.40","1,500",-,-,-,-,-,-,
,328,-156,648,60.16,0.05,-0.30,50,0.05,0.10,"2,400","19,750.00","5,500","1,867.45","2,141.90","1,000",-,-,-,-,-,-,
,"1,962",-374,"1,245",64.66,0.10,-0.35,-,-,0.10,"5,050","19,800.00",250,"1,923.15","2,138.05","1,500",-180.00,"2,080.00",123.63,8,-2,6,
,637,188,"2,840",68.14,0.10,-0.35,50,0.10,0.20,400,"19,850.00","2,750","1,960.35","2,299.45","1,500",-,-,-,-,-,-,
,"6,575","-5,462","7,451",64.09,0.05,-0.35,500,0.05,0.10,"2,550","19,900.00",100,"2,156.45","2,172.00",50,-70.95,"2,169.00",113.61,165,-34,483,
,"5,219","-1,831","15,580",65.38,0.10,-0.25,"40,600",0.05,0.15,"13,950","19,950.00","2,750","2,082.45","2,387.50","1,500",-,"2,262.50",-,-,-,75,
